hours_studied,attendance_percent,previous_score,sleep_hours,assignments_done,result
7.8,76.0,67.0,7.1,6,Pass
5.0,50.0,65.0,8.2,0,Fail
0.6,61.0,93.0,8.4,1,Fail
2.4,77.0,28.0,6.3,5,Fail
,42.0,37.0,4.1,10,Pass
5.0,51.0,53.0,5.7,0,Fail
3.0,63.0,61.0,7.7,9,Pass
5.2,80.0,33.0,9.3,0,Pass
2.4,71.0,90.0,6.7,5,Pass
2.2,83.0,74.0,6.1,2,Pass
7.5,84.0,93.0,9.7,4,Pass
3.6,42.0,94.0,7.3,10,Pass
2.5,94.0,62.0,5.3,2,Pass
3.7,89.0,87.0,6.7,7,Pass
8.3,56.0,79.0,8.0,3,Pass
1.6,69.0,51.0,6.7,7,Pass
1.7,58.0,73.0,7.8,0,Fail
3.2,94.0,95.0,4.9,3,Pass
0.5,63.0,81.0,5.1,10,Pass
0.7,64.0,77.0,5.9,7,Pass
0.1,95.0,41.0,6.5,10,Fail
1.3,76.0,86.0,7.2,7,Pass
5.8,48.0,53.0,7.6,2,Fail
1.8,78.0,71.0,9.8,5,Pass
3.4,88.0,74.0,5.9,9,Pass
6.4,60.0,63.0,6.4,7,Pass
0.3,72.0,37.0,5.9,5,Fail
1.9,78.0,76.0,8.1,9,Pass
9.0,71.0,43.0,8.2,1,Pass
5.4,100.0,44.0,6.3,10,Pass
5.9,70.0,34.0,9.3,1,Fail
4.6,79.0,70.0,5.9,10,Pass
8.7,88.0,34.0,8.0,8,Pass
1.3,48.0,50.0,8.5,5,Fail
0.6,43.0,90.0,5.2,5,Fail
7.3,98.0,58.0,7.5,0,Pass
0.0,84.0,90.0,3.5,3,Fail
5.1,64.0,61.0,7.8,2,Pass
0.0,41.0,38.0,5.5,7,Fail
3.1,50.0,80.0,7.5,2,Pass
5.9,41.0,51.0,7.7,8,Pass
4.9,64.0,96.0,8.1,3,Pass
5.0,73.0,44.0,7.9,9,Pass
1.4,50.0,85.0,6.9,3,Fail
2.7,78.0,61.0,6.3,8,Fail
6.4,97.0,86.0,6.7,7,Pass
0.2,99.0,38.0,5.5,10,Fail
5.4,90.0,71.0,6.5,5,Pass
4.7,67.0,33.0,6.5,3,Fail
3.1,73.0,84.0,5.9,7,Pass
3.0,70.0,42.0,4.7,0,Fail
7.2,49.0,56.0,5.3,10,Pass
3.4,91.0,73.0,3.0,7,Pass
0.7,81.0,60.0,6.4,0,Pass
8.7,78.0,82.0,7.2,1,Pass
1.2,53.0,75.0,3.6,0,Fail
7.2,49.0,35.0,7.1,7,Pass
0.1,92.0,81.0,6.7,7,Fail
3.3,51.0,56.0,5.4,1,Fail
4.6,44.0,69.0,6.3,6,Pass
0.3,78.0,41.0,,5,Fail
6.6,82.0,56.0,5.6,5,Pass
2.3,47.0,85.0,6.9,6,Fail
4.9,52.0,93.0,7.2,9,Pass
7.1,87.0,94.0,5.8,10,Pass
5.3,96.0,76.0,8.0,1,Pass
4.1,69.0,31.0,7.3,10,Pass
3.0,88.0,57.0,6.5,6,Fail
0.4,59.0,39.0,9.6,1,Fail
8.2,82.0,76.0,8.0,10,Pass
5.3,73.0,37.0,4.8,4,Fail
5.7,91.0,96.0,6.3,4,Pass
4.0,87.0,39.0,9.8,10,Pass
3.4,57.0,29.0,5.6,6,Fail
0.4,49.0,87.0,6.9,1,Fail
1.5,88.0,40.0,8.3,0,Fail
3.8,42.0,27.0,7.6,9,Pass
2.2,81.0,65.0,7.8,3,Pass
0.4,69.0,96.0,7.7,1,Fail
4.9,45.0,45.0,6.8,0,Fail
4.2,81.0,55.0,5.8,10,Pass
3.8,69.0,42.0,7.3,6,Fail
7.1,92.0,66.0,6.3,5,Pass
5.4,53.0,49.0,6.2,6,Pass
0.0,40.0,68.0,8.6,4,Fail
6.9,48.0,60.0,6.3,10,Pass
4.3,56.0,93.0,8.8,6,Pass
4.7,79.0,74.0,7.1,7,Pass
8.0,62.0,75.0,6.6,9,Pass
1.0,47.0,61.0,4.6,0,Fail
5.4,99.0,47.0,9.3,3,Pass
2.5,46.0,48.0,6.8,9,Fail
0.3,61.0,62.0,4.1,1,Fail
3.9,93.0,39.0,8.0,3,Pass
2.6,79.0,35.0,6.7,1,Fail
0.0,59.0,52.0,5.7,7,Fail
4.4,98.0,35.0,7.9,9,Pass
2.8,70.0,42.0,3.7,2,Fail
3.9,40.0,64.0,5.9,7,Fail
0.1,40.0,83.0,6.4,8,Fail
3.6,96.0,41.0,7.8,9,Pass
4.2,57.0,83.0,9.5,10,Pass
4.2,89.0,26.0,6.5,5,Fail
6.5,43.0,98.0,,0,Pass
8.9,49.0,63.0,10.1,8,Pass
0.3,91.0,60.0,6.8,5,Fail
3.6,100.0,72.0,7.4,5,Pass
7.7,43.0,60.0,5.3,5,Pass
5.6,50.0,55.0,9.2,7,Pass
8.9,83.0,52.0,5.9,3,Pass
6.4,72.0,96.0,7.1,3,Pass
6.5,64.0,88.0,7.1,3,Pass
0.7,52.0,62.0,6.9,5,Fail
2.5,97.0,86.0,6.3,7,Pass
5.3,50.0,36.0,7.1,0,Fail
4.7,56.0,64.0,8.9,3,Pass
6.9,59.0,58.0,9.5,8,Pass
8.9,48.0,49.0,6.6,0,Pass
1.9,72.0,92.0,6.3,8,Pass
3.9,60.0,86.0,5.8,8,Pass
7.8,76.0,91.0,10.0,3,Pass
7.5,62.0,71.0,7.0,6,Pass
7.4,47.0,52.0,8.1,5,Pass
5.6,92.0,80.0,7.6,2,Pass
8.9,71.0,33.0,9.5,1,Pass
3.2,59.0,87.0,6.5,10,Pass
1.0,41.0,27.0,5.5,9,Fail
1.2,76.0,85.0,9.0,9,Pass
3.9,87.0,76.0,7.9,1,Pass
7.2,79.0,31.0,7.3,10,Pass
4.1,87.0,36.0,8.6,6,Pass
5.5,49.0,58.0,7.4,5,Pass
3.2,98.0,47.0,8.7,3,Fail
6.4,53.0,88.0,7.1,2,Pass
1.4,56.0,39.0,7.9,3,Fail
4.7,71.0,55.0,7.4,1,Pass
1.7,40.0,44.0,6.4,8,Fail
4.2,67.0,34.0,6.6,10,Pass
3.9,52.0,44.0,6.3,10,Pass
5.4,85.0,88.0,7.1,9,Pass
4.6,85.0,77.0,6.3,1,Pass
8.8,77.0,92.0,7.3,8,Pass
8.1,65.0,55.0,7.3,9,Pass
2.6,59.0,43.0,7.0,5,Fail
1.1,90.0,27.0,7.1,6,Fail
0.6,70.0,61.0,6.1,4,Pass
1.8,70.0,28.0,6.5,9,Fail
2.0,47.0,25.0,4.8,7,Fail
8.0,53.0,69.0,6.7,6,Pass
8.3,62.0,37.0,5.6,0,Pass
2.1,82.0,66.0,6.9,10,Pass
6.8,91.0,67.0,5.9,5,Pass
7.5,100.0,78.0,4.3,10,Pass
3.4,66.0,53.0,9.5,7,Pass
7.8,67.0,76.0,6.5,5,Pass
8.9,86.0,52.0,8.5,8,Pass
8.7,59.0,32.0,6.2,2,Pass
6.7,72.0,48.0,8.8,4,Pass
3.3,81.0,26.0,5.4,0,Fail
2.0,54.0,59.0,7.0,8,Pass
8.9,57.0,79.0,5.5,3,Pass
2.5,61.0,82.0,9.9,1,Pass
3.9,75.0,42.0,6.5,8,Fail
2.4,56.0,33.0,7.8,2,Fail
4.5,52.0,39.0,7.3,2,Fail
1.0,49.0,97.0,6.8,1,Fail
7.3,89.0,48.0,7.4,6,Pass
4.5,93.0,56.0,8.4,3,Pass
3.8,94.0,31.0,7.6,6,Pass
3.3,89.0,83.0,7.0,3,Pass
5.2,48.0,58.0,7.4,8,Pass
7.0,46.0,31.0,9.1,4,Pass
8.1,70.0,60.0,6.3,8,Pass
7.6,71.0,77.0,4.6,5,Pass
4.0,84.0,60.0,5.5,0,Pass
7.5,53.0,96.0,5.6,4,Pass
4.8,96.0,89.0,5.7,2,Pass
5.7,59.0,63.0,5.8,5,Pass
6.1,75.0,94.0,6.8,1,Pass
3.6,92.0,84.0,7.1,8,Pass
4.4,71.0,52.0,7.1,6,Pass
6.2,85.0,81.0,5.9,1,Pass
2.8,85.0,62.0,8.0,10,Pass
6.7,87.0,64.0,7.4,3,Pass
3.2,89.0,63.0,8.7,2,Fail
5.3,64.0,84.0,7.8,0,Pass
7.5,62.0,92.0,6.4,2,Pass
0.2,88.0,48.0,8.4,0,Fail
2.2,75.0,72.0,7.1,5,Fail
5.1,76.0,71.0,7.8,6,Pass
1.0,65.0,90.0,7.7,4,Fail
1.9,52.0,58.0,6.7,9,Fail
6.7,67.0,39.0,6.9,10,Pass
0.2,98.0,40.0,6.6,3,Fail
5.5,57.0,29.0,5.8,7,Fail
0.3,56.0,32.0,4.2,4,Fail
1.0,48.0,47.0,6.0,3,Fail
3.5,69.0,32.0,7.0,2,Fail
8.7,57.0,89.0,8.1,5,Pass
4.9,81.0,51.0,7.8,1,Pass
2.8,48.0,52.0,6.5,7,Fail
3.7,,80.0,6.0,9,Pass
5.1,44.0,47.0,6.6,4,Fail
5.6,42.0,77.0,5.6,6,Pass
2.4,89.0,85.0,4.3,10,Pass
1.8,94.0,51.0,4.9,7,Pass
4.5,86.0,60.0,8.4,4,Pass
5.8,92.0,49.0,9.0,9,Pass
7.3,45.0,56.0,7.7,0,Pass
5.3,94.0,67.0,6.7,6,Pass
6.2,68.0,51.0,5.1,2,Fail
4.4,86.0,59.0,6.6,1,Pass
,77.0,61.0,7.5,5,Pass
5.7,61.0,27.0,7.8,7,Fail
2.1,56.0,37.0,7.6,8,Fail
8.4,47.0,65.0,8.3,8,Pass
3.1,65.0,25.0,9.1,3,Fail
5.4,70.0,76.0,6.3,4,Pass
5.0,99.0,91.0,10.2,1,Pass
7.7,42.0,80.0,4.4,6,Pass
1.0,75.0,48.0,5.9,8,Fail
8.0,71.0,58.0,7.0,5,Pass
1.2,41.0,73.0,7.5,3,Fail
1.3,60.0,75.0,6.6,3,Fail
7.8,65.0,96.0,6.2,7,Pass
2.3,70.0,61.0,9.4,7,Pass
5.5,54.0,43.0,6.1,5,Pass
4.2,42.0,51.0,5.6,2,Fail
8.4,58.0,92.0,8.8,4,Pass
7.0,90.0,71.0,7.8,3,Pass
3.0,88.0,88.0,8.1,1,Pass
7.3,51.0,78.0,7.0,4,Pass
2.0,79.0,95.0,5.1,9,Pass
5.5,95.0,62.0,6.9,6,Pass
6.8,50.0,94.0,5.0,1,Pass
6.3,48.0,90.0,7.1,9,Pass
5.9,41.0,87.0,7.6,2,Pass
7.5,50.0,94.0,8.1,6,Pass
5.0,89.0,63.0,6.7,6,Pass
8.4,89.0,79.0,7.7,7,Pass
1.3,72.0,66.0,5.7,8,Fail
3.2,60.0,82.0,8.0,3,Pass
7.0,88.0,81.0,7.6,8,Pass
2.8,52.0,80.0,5.8,6,Pass
4.0,48.0,56.0,7.4,3,Fail
7.0,45.0,83.0,8.1,1,Pass
4.8,91.0,89.0,6.9,6,Pass
1.7,83.0,71.0,5.8,5,Pass
1.6,77.0,58.0,7.0,5,Pass
2.7,84.0,87.0,7.5,7,Pass
2.7,49.0,82.0,5.8,7,Pass
1.2,63.0,59.0,5.6,1,Fail
7.5,89.0,67.0,7.4,3,Pass
2.5,95.0,75.0,7.8,9,Pass
7.2,71.0,75.0,9.4,6,Pass
8.8,47.0,48.0,7.6,4,Pass
3.0,99.0,46.0,5.3,10,Pass
8.7,64.0,90.0,9.2,7,Pass
1.7,59.0,93.0,8.1,9,Pass
5.8,47.0,54.0,4.4,5,Pass
8.9,41.0,92.0,5.6,1,Pass
7.3,76.0,59.0,6.2,8,Pass
2.1,77.0,37.0,7.8,8,Fail
2.3,54.0,79.0,3.9,6,Fail
2.4,50.0,28.0,6.7,4,Fail
8.5,72.0,33.0,7.7,1,Pass
2.2,66.0,94.0,3.4,2,Fail
4.6,58.0,63.0,7.7,10,Pass
3.1,53.0,44.0,7.8,1,Fail
3.3,92.0,60.0,5.8,7,Pass
3.7,99.0,67.0,5.4,7,Pass
3.1,61.0,72.0,5.8,5,Pass
5.4,82.0,50.0,3.6,10,Pass
3.8,92.0,53.0,6.4,7,Pass
4.0,42.0,65.0,7.1,10,Pass
4.6,94.0,71.0,5.3,2,Pass
3.2,70.0,92.0,8.0,8,Pass
6.8,73.0,54.0,6.9,8,Pass
4.5,72.0,89.0,7.1,10,Pass
4.6,55.0,98.0,6.3,4,Pass
1.9,87.0,50.0,7.7,3,Fail
0.3,84.0,27.0,8.3,8,Pass
7.3,46.0,69.0,6.3,7,Pass
7.7,74.0,91.0,7.7,3,Pass
2.2,97.0,29.0,7.7,3,Fail
3.2,92.0,39.0,7.3,8,Pass
3.2,78.0,74.0,8.8,6,Pass
6.2,52.0,84.0,5.9,9,Pass
1.7,61.0,31.0,6.3,6,Fail
8.8,49.0,52.0,5.9,10,Pass
0.6,89.0,42.0,7.7,3,Fail
8.8,87.0,95.0,6.5,8,Pass
0.6,95.0,75.0,6.0,2,Fail
2.9,44.0,60.0,8.8,7,Pass
2.3,98.0,88.0,9.0,4,Pass
2.3,98.0,64.0,6.4,5,Pass
9.0,80.0,92.0,5.2,8,Pass
4.1,93.0,42.0,9.0,1,Pass
1.1,66.0,27.0,7.4,2,Fail
8.8,59.0,56.0,7.3,6,Pass
2.2,49.0,40.0,6.9,4,Fail
0.7,42.0,86.0,5.8,6,Fail
0.2,43.0,64.0,6.3,4,Fail
4.2,81.0,46.0,7.6,0,Fail
8.3,60.0,81.0,6.3,10,Pass
0.2,43.0,63.0,7.3,7,Fail
6.5,47.0,62.0,6.8,6,Pass
2.3,80.0,38.0,5.5,1,Fail
2.0,96.0,98.0,8.7,2,Pass
6.3,64.0,73.0,7.5,6,Pass
6.7,87.0,87.0,7.2,0,Pass
5.0,98.0,80.0,7.5,5,Pass
1.8,82.0,62.0,4.6,9,Pass
0.1,83.0,26.0,6.2,9,Fail
6.6,77.0,74.0,5.0,5,Pass
5.4,99.0,32.0,6.9,2,Pass
3.8,58.0,95.0,7.2,0,Pass
1.9,87.0,43.0,7.0,1,Fail
6.9,65.0,52.0,8.2,3,Pass
0.6,49.0,65.0,5.0,6,Fail
5.8,84.0,62.0,5.8,7,Pass
6.2,90.0,73.0,7.3,5,Pass
2.0,92.0,82.0,7.1,9,Pass
4.3,95.0,80.0,5.2,1,Pass
4.7,85.0,91.0,8.2,4,Pass
5.3,72.0,59.0,8.7,6,Pass
8.1,96.0,64.0,7.3,0,Pass
4.9,53.0,89.0,5.0,9,Pass
0.6,45.0,46.0,7.0,10,Fail
3.1,66.0,43.0,7.2,8,Pass
5.7,75.0,26.0,6.5,7,Pass
3.0,81.0,79.0,8.4,2,Pass
6.9,89.0,75.0,6.7,2,Pass
1.7,42.0,45.0,9.3,2,Fail
1.3,88.0,34.0,7.7,1,Fail
,76.0,28.0,7.1,6,Fail
7.9,97.0,61.0,7.9,10,Pass
6.1,61.0,39.0,8.6,7,Pass
4.7,77.0,83.0,7.9,9,Pass
2.7,86.0,94.0,6.7,10,Pass
8.3,71.0,82.0,6.0,7,Pass
8.0,49.0,87.0,5.5,1,Pass
3.6,43.0,97.0,3.9,10,Pass
6.8,47.0,79.0,7.0,6,Pass
8.2,70.0,66.0,6.3,6,Pass
2.8,78.0,84.0,6.4,10,Pass
3.0,74.0,66.0,8.0,7,Pass
4.9,83.0,57.0,6.7,1,Pass
3.7,42.0,27.0,9.1,8,Pass
6.9,48.0,72.0,6.1,10,Pass
4.8,86.0,91.0,5.6,2,Pass
1.9,87.0,76.0,5.3,5,Pass
3.2,82.0,55.0,7.7,1,Pass
6.0,85.0,70.0,8.2,7,Pass
0.5,98.0,84.0,6.1,1,Fail
3.1,97.0,81.0,5.5,4,Pass
0.1,79.0,61.0,8.6,7,Fail
7.4,59.0,51.0,5.1,9,Pass
1.1,41.0,54.0,8.0,3,Fail
0.7,78.0,91.0,6.1,9,Pass
,66.0,37.0,7.3,0,Pass
0.8,49.0,88.0,8.1,1,Fail
6.2,53.0,39.0,7.4,1,Pass
3.4,96.0,97.0,6.4,8,Pass
7.4,44.0,58.0,8.5,3,Pass
1.6,87.0,79.0,7.1,0,Fail
0.8,94.0,78.0,,8,Pass
2.1,81.0,81.0,4.8,3,Fail
8.4,44.0,83.0,4.7,7,Pass
7.5,91.0,28.0,8.0,6,Pass
2.6,79.0,45.0,6.8,1,Fail
1.9,57.0,42.0,7.8,6,Fail
1.4,78.0,76.0,5.5,9,Pass
2.0,48.0,75.0,6.9,4,Fail
1.8,82.0,47.0,7.3,9,Pass
8.0,94.0,83.0,6.1,2,Pass
0.2,71.0,48.0,7.1,3,Fail
7.9,97.0,50.0,5.2,1,Pass
0.4,66.0,54.0,7.3,2,Fail
7.4,91.0,79.0,8.5,2,Pass
3.8,86.0,26.0,5.3,7,Pass
0.7,45.0,91.0,5.2,1,Fail
7.2,95.0,76.0,8.2,5,Pass
2.3,95.0,68.0,5.2,2,Pass
7.9,61.0,42.0,7.8,1,Pass
6.8,88.0,82.0,6.9,9,Pass
8.8,53.0,89.0,6.3,5,Pass
7.5,42.0,62.0,8.6,3,Pass
2.2,52.0,46.0,7.9,7,Fail
3.7,69.0,53.0,7.1,9,Pass
6.3,43.0,55.0,4.2,3,Pass
2.8,50.0,47.0,7.7,2,Fail
4.9,97.0,77.0,5.5,7,Pass
2.1,70.0,50.0,6.5,5,Fail
6.0,89.0,85.0,6.8,7,Pass
3.1,52.0,59.0,9.1,1,Fail
0.5,45.0,71.0,6.5,10,Fail
8.7,87.0,94.0,5.1,0,Pass
7.6,61.0,58.0,8.6,3,Pass
2.7,68.0,37.0,7.7,6,Fail
1.2,100.0,65.0,7.7,5,Pass
6.6,59.0,61.0,8.6,3,Pass
2.0,68.0,82.0,8.9,10,Pass
5.4,78.0,88.0,5.7,3,Pass
7.0,45.0,77.0,5.1,7,Pass
2.5,83.0,96.0,7.8,4,Pass
2.6,67.0,45.0,6.5,4,Fail
0.6,51.0,42.0,6.6,8,Fail
2.9,66.0,46.0,5.5,3,Fail
5.4,68.0,74.0,7.5,4,Pass
1.4,78.0,42.0,7.3,8,Fail
8.6,96.0,31.0,6.6,0,Pass
6.5,86.0,96.0,5.1,4,Pass
1.8,63.0,48.0,8.3,3,Pass
4.8,,41.0,7.1,5,Pass
3.5,87.0,51.0,8.1,6,Pass
3.4,42.0,37.0,4.3,4,Fail
5.0,47.0,28.0,6.9,10,Pass
1.0,53.0,47.0,5.9,10,Fail
1.9,45.0,50.0,6.8,1,Fail
1.3,69.0,84.0,7.9,7,Pass
1.6,60.0,57.0,7.2,3,Fail
5.9,98.0,79.0,6.8,7,Pass
9.0,68.0,79.0,6.8,5,Pass
5.9,53.0,83.0,4.9,10,Pass
8.9,98.0,92.0,5.7,10,Pass
5.2,71.0,61.0,8.1,0,Pass
2.5,44.0,33.0,6.2,1,Fail
7.9,45.0,28.0,8.2,0,Fail
0.6,81.0,39.0,7.8,8,Fail
0.9,70.0,86.0,7.9,2,Fail
8.5,77.0,67.0,7.2,7,Pass
5.9,91.0,35.0,6.3,3,Pass
8.4,81.0,35.0,6.6,3,Pass
1.2,92.0,90.0,7.6,6,Pass
6.9,85.0,63.0,4.2,8,Pass
2.1,80.0,38.0,8.3,6,Pass
3.1,48.0,90.0,6.2,6,Pass
8.1,69.0,78.0,6.7,8,Pass
3.7,66.0,60.0,6.7,1,Fail
6.0,72.0,59.0,6.8,6,Pass
8.0,63.0,74.0,5.2,3,Pass
7.8,77.0,50.0,7.0,1,Pass
0.1,64.0,98.0,7.5,3,Fail
1.4,73.0,82.0,4.3,2,Fail
8.3,64.0,72.0,5.2,3,Pass
5.1,94.0,75.0,7.9,0,Pass
4.3,62.0,98.0,7.7,8,Pass
0.6,84.0,26.0,7.2,3,Fail
0.2,77.0,27.0,6.0,7,Fail
8.6,63.0,82.0,7.7,8,Pass
4.3,88.0,40.0,5.4,9,Pass
7.1,96.0,75.0,6.6,0,Pass
2.0,86.0,62.0,5.2,5,Pass
2.1,97.0,48.0,6.6,4,Pass
5.0,66.0,42.0,5.6,3,Fail
7.9,95.0,82.0,7.7,8,Pass
2.6,93.0,37.0,7.3,0,Pass
3.0,86.0,37.0,6.1,3,Fail
5.0,90.0,57.0,8.1,8,Pass
0.4,84.0,34.0,5.7,4,Fail
3.4,71.0,72.0,6.8,0,Fail
5.0,73.0,97.0,6.1,1,Pass
0.0,65.0,80.0,7.7,3,Fail
5.7,80.0,69.0,7.6,2,Pass
0.5,59.0,54.0,8.4,7,Fail
6.5,84.0,97.0,6.9,1,Pass
7.2,70.0,89.0,3.2,8,Pass
7.5,61.0,85.0,6.3,3,Pass
6.1,49.0,42.0,8.7,0,Fail
5.1,55.0,34.0,6.4,0,Fail
2.8,78.0,38.0,4.5,6,Fail
3.8,62.0,44.0,7.3,8,Pass
0.8,42.0,31.0,7.4,1,Fail
6.4,60.0,90.0,5.9,3,Pass
0.2,62.0,39.0,6.5,8,Fail
3.7,54.0,42.0,5.8,9,Pass
4.6,57.0,90.0,7.4,8,Pass
5.9,82.0,95.0,6.9,6,Pass
3.1,85.0,41.0,5.4,8,Pass
4.0,98.0,46.0,6.8,3,Pass
5.3,47.0,83.0,5.9,0,Pass
,59.0,96.0,8.6,6,Pass
6.0,45.0,72.0,7.9,6,Pass
2.3,77.0,57.0,6.7,8,Pass
7.6,41.0,74.0,6.9,2,Pass
0.5,52.0,82.0,8.0,9,Fail
2.5,75.0,33.0,6.6,5,Fail
1.0,62.0,57.0,7.7,4,Fail
4.0,73.0,88.0,8.6,10,Pass
5.7,78.0,76.0,6.2,5,Pass
4.8,90.0,36.0,8.8,0,Pass
7.3,64.0,80.0,8.4,2,Pass
5.1,57.0,74.0,7.1,6,Pass
2.1,72.0,44.0,6.3,2,Fail
4.8,44.0,50.0,7.1,1,Fail
6.6,43.0,48.0,6.5,3,Fail
4.5,67.0,98.0,5.8,5,Pass
4.0,53.0,38.0,7.4,1,Fail
4.8,40.0,86.0,5.6,5,Pass
4.9,81.0,64.0,6.4,7,Pass
2.8,89.0,89.0,6.4,5,Pass
7.7,49.0,97.0,5.2,7,Pass
1.9,74.0,95.0,7.6,7,Pass
0.3,99.0,87.0,6.5,5,Pass
6.7,56.0,55.0,8.4,10,Pass
7.6,84.0,45.0,6.5,6,Pass
5.8,50.0,48.0,6.3,8,Pass
4.2,96.0,73.0,5.7,7,Pass
8.8,40.0,50.0,6.8,10,Pass
3.3,58.0,57.0,6.9,4,Fail
3.7,99.0,31.0,7.7,2,Fail
5.3,80.0,81.0,6.9,1,Pass
3.9,53.0,33.0,9.3,10,Pass
5.0,87.0,50.0,7.3,8,Pass
8.7,94.0,68.0,5.6,3,Pass
2.1,69.0,64.0,5.5,4,Pass
1.3,49.0,90.0,7.4,0,Fail
3.8,56.0,73.0,5.6,10,Pass
4.5,97.0,83.0,7.5,4,Pass
6.4,50.0,47.0,7.9,4,Pass
8.6,59.0,35.0,7.9,2,Pass
6.2,49.0,79.0,5.8,0,Fail
8.9,46.0,36.0,7.9,8,Pass
2.2,71.0,86.0,7.2,2,Pass
1.9,64.0,94.0,6.1,0,Fail
2.8,43.0,46.0,6.6,10,Fail
7.1,49.0,81.0,7.4,6,Pass
1.7,42.0,57.0,6.0,0,Fail
1.8,41.0,47.0,7.2,3,Fail
3.7,51.0,56.0,8.5,6,Pass
2.9,85.0,72.0,8.0,2,Pass
5.8,41.0,97.0,6.9,10,Pass
8.0,58.0,47.0,7.1,9,Pass
1.2,74.0,77.0,6.2,9,Pass
4.9,85.0,49.0,6.2,5,Pass
0.8,81.0,43.0,5.0,10,Fail
2.0,99.0,71.0,7.1,3,Pass
2.8,57.0,81.0,7.6,6,Pass
5.2,40.0,77.0,6.7,8,Pass
5.0,42.0,94.0,5.7,5,Pass
5.8,46.0,33.0,6.9,9,Pass
7.4,99.0,64.0,8.4,1,Pass
1.7,74.0,46.0,7.9,4,Fail
6.7,88.0,85.0,6.8,9,Pass
6.0,99.0,30.0,9.3,2,Pass
0.7,91.0,38.0,10.0,4,Fail
3.1,64.0,81.0,6.2,10,Pass
0.2,93.0,51.0,6.5,6,Pass
0.8,66.0,75.0,7.6,3,Fail
2.6,47.0,98.0,5.7,3,Pass
2.2,73.0,59.0,7.8,2,Pass
8.1,95.0,64.0,6.9,8,Pass
8.0,87.0,96.0,7.2,1,Pass
5.2,64.0,79.0,6.1,2,Pass
6.6,91.0,39.0,5.9,1,Pass
9.0,68.0,84.0,4.4,8,Pass
3.7,81.0,63.0,8.6,10,Pass
4.7,60.0,82.0,7.9,0,Pass
5.9,52.0,69.0,7.6,10,Pass
8.3,,42.0,7.2,10,Pass
7.2,93.0,84.0,4.0,5,Pass
0.6,99.0,25.0,5.9,0,Fail
6.4,56.0,90.0,6.5,7,Pass
