age,monthly_income,loan_amount,existing_loans,missed_payments,credit_history_years,credit_score
43.0,51896.0,180640.0,2,1,22.0,Good
52.0,60853.0,126518.0,0,1,12.0,Good
,48632.0,105706.0,0,0,9.0,Good
34.0,32198.0,36477.0,2,0,16.0,Good
49.0,20035.0,74649.0,1,0,3.0,Poor
23.0,49880.0,183726.0,2,0,24.0,Good
46.0,30016.0,66388.0,1,2,17.0,Average
,34540.0,38199.0,2,3,11.0,Average
39.0,25607.0,100798.0,3,1,2.0,Poor
48.0,36352.0,130943.0,3,0,8.0,Poor
64.0,35309.0,78712.0,1,0,14.0,Good
24.0,23084.0,60426.0,1,3,24.0,Average
45.0,46526.0,89645.0,3,1,12.0,Average
44.0,80892.0,85941.0,4,2,24.0,Good
23.0,63449.0,179013.0,2,1,12.0,Average
47.0,84657.0,234991.0,0,3,19.0,Good
24.0,29211.0,67919.0,2,3,2.0,Poor
51.0,24286.0,80470.0,3,2,19.0,Poor
30.0,16650.0,32830.0,4,1,6.0,Poor
26.0,32895.0,114652.0,4,0,10.0,Poor
24.0,35091.0,38704.0,3,1,8.0,Average
41.0,38939.0,150253.0,2,0,13.0,Average
31.0,22630.0,23961.0,0,2,15.0,Good
41.0,42470.0,37902.0,4,0,8.0,Average
60.0,37550.0,95098.0,2,0,1.0,Poor
57.0,42833.0,27601.0,3,0,15.0,Good
54.0,47599.0,43855.0,3,3,10.0,Poor
41.0,25618.0,76788.0,0,3,20.0,Average
25.0,39799.0,57317.0,1,3,17.0,Average
38.0,,203641.0,3,2,9.0,Poor
21.0,45900.0,40188.0,2,1,1.0,Average
26.0,38092.0,65732.0,3,2,13.0,Average
34.0,27130.0,46915.0,2,2,19.0,Good
51.0,33358.0,69300.0,0,1,19.0,Good
55.0,19671.0,35771.0,1,1,8.0,Average
48.0,55953.0,96861.0,2,0,5.0,Average
32.0,27216.0,41238.0,1,1,1.0,Poor
52.0,24062.0,8567.0,0,3,15.0,Good
64.0,20711.0,53463.0,0,0,6.0,Average
49.0,26271.0,53906.0,1,1,19.0,Good
54.0,29726.0,49974.0,4,0,14.0,Good
59.0,69145.0,74831.0,4,1,1.0,Poor
52.0,26956.0,96992.0,4,1,17.0,Poor
59.0,77683.0,91682.0,4,0,6.0,Average
34.0,69563.0,257899.0,4,1,21.0,Average
34.0,68132.0,75209.0,3,5,0.0,Poor
28.0,50241.0,195652.0,0,1,9.0,Poor
29.0,18035.0,33427.0,1,1,0.0,Poor
45.0,64037.0,145432.0,3,3,15.0,Average
61.0,18770.0,26383.0,1,1,11.0,Average
30.0,23034.0,86953.0,1,1,13.0,Average
52.0,29656.0,39903.0,0,0,17.0,Good
24.0,27379.0,82186.0,1,2,22.0,Average
63.0,57497.0,21608.0,1,0,9.0,Good
44.0,53746.0,127231.0,4,3,14.0,Poor
42.0,35517.0,108108.0,3,0,15.0,Average
36.0,49859.0,101824.0,0,3,22.0,Good
63.0,40479.0,108495.0,2,1,4.0,Poor
39.0,37352.0,117353.0,4,1,13.0,Poor
26.0,31196.0,67099.0,2,2,20.0,Average
45.0,25666.0,28411.0,4,1,7.0,Average
46.0,13783.0,24369.0,0,3,9.0,Poor
53.0,56718.0,170374.0,1,0,11.0,Average
42.0,26595.0,34654.0,4,2,17.0,Average
33.0,27715.0,73127.0,3,0,16.0,Average
21.0,25830.0,21921.0,1,0,3.0,Average
,42893.0,160509.0,4,2,5.0,Poor
29.0,48108.0,121763.0,1,0,20.0,Good
36.0,28338.0,57600.0,3,1,16.0,Average
27.0,38055.0,125682.0,1,0,12.0,Average
31.0,29175.0,94805.0,1,1,10.0,Poor
23.0,56781.0,37481.0,1,0,24.0,Good
35.0,44842.0,64399.0,1,0,22.0,Good
62.0,15645.0,31239.0,2,0,10.0,Average
30.0,47215.0,73655.0,4,0,8.0,Average
63.0,39359.0,58016.0,3,0,21.0,Good
48.0,24822.0,39792.0,0,0,8.0,Average
60.0,23425.0,19339.0,2,2,10.0,Average
48.0,53440.0,39644.0,2,1,22.0,Good
64.0,55238.0,69774.0,0,1,2.0,Average
45.0,40459.0,22629.0,1,0,17.0,Good
57.0,28580.0,62528.0,4,1,17.0,Average
22.0,25137.0,21784.0,1,0,9.0,Good
62.0,25579.0,14068.0,3,1,4.0,Average
21.0,31567.0,107247.0,0,0,21.0,Good
29.0,61782.0,152835.0,4,0,19.0,Good
53.0,17356.0,62897.0,4,1,21.0,Poor
32.0,37522.0,147782.0,0,0,8.0,Poor
22.0,31711.0,79153.0,3,1,24.0,Good
58.0,45255.0,146858.0,4,1,18.0,Average
43.0,22853.0,20346.0,4,0,5.0,Average
42.0,33494.0,96595.0,3,3,12.0,Poor
34.0,54654.0,127527.0,3,2,7.0,Poor
52.0,40677.0,114004.0,2,3,13.0,Poor
34.0,29513.0,20290.0,0,5,4.0,Poor
45.0,24572.0,92453.0,0,3,18.0,Poor
26.0,69641.0,128467.0,1,2,11.0,Average
34.0,19962.0,63289.0,1,3,16.0,Poor
22.0,74816.0,296665.0,4,1,16.0,Poor
33.0,40141.0,141748.0,4,3,16.0,Poor
37.0,35056.0,50947.0,1,1,18.0,Good
53.0,61147.0,109289.0,1,2,16.0,Average
57.0,62620.0,169075.0,3,2,12.0,Poor
44.0,38709.0,88670.0,3,3,14.0,Poor
61.0,46032.0,83691.0,4,2,15.0,Average
36.0,21698.0,58964.0,3,0,20.0,Average
42.0,33577.0,123068.0,3,0,11.0,Poor
48.0,27020.0,39048.0,3,1,7.0,Poor
28.0,70260.0,54441.0,4,0,6.0,Average
39.0,66683.0,186731.0,1,1,4.0,Poor
60.0,21903.0,54352.0,1,0,15.0,Good
41.0,21360.0,77978.0,4,0,18.0,Average
61.0,34357.0,104715.0,0,0,7.0,Average
50.0,76262.0,134929.0,1,0,13.0,Good
28.0,30268.0,80008.0,0,1,9.0,Average
41.0,104969.0,366421.0,4,1,22.0,Average
,20186.0,32008.0,4,3,22.0,Average
62.0,26560.0,9327.0,2,1,24.0,Good
35.0,21648.0,56663.0,0,1,21.0,Good
42.0,39018.0,15448.0,1,1,21.0,Good
51.0,29910.0,112721.0,2,2,13.0,Poor
63.0,72517.0,66885.0,1,2,13.0,Good
45.0,28774.0,48478.0,3,0,7.0,Average
58.0,55794.0,212087.0,3,1,18.0,Average
26.0,22187.0,13218.0,2,1,8.0,Average
60.0,32596.0,10303.0,3,2,8.0,Average
30.0,16478.0,11262.0,0,3,23.0,Good
54.0,76955.0,303845.0,0,2,0.0,Poor
44.0,34282.0,133542.0,1,1,2.0,Poor
47.0,55587.0,95777.0,0,2,19.0,Good
25.0,18267.0,55690.0,0,1,17.0,Average
44.0,19548.0,59093.0,3,1,,Average
24.0,22412.0,15001.0,0,2,11.0,Average
45.0,27527.0,32205.0,1,2,0.0,Poor
38.0,62194.0,223229.0,3,2,7.0,Poor
29.0,29369.0,26816.0,1,2,21.0,Good
42.0,47443.0,105663.0,1,1,16.0,Average
30.0,86986.0,104676.0,3,0,22.0,Good
24.0,31872.0,75319.0,0,1,0.0,Poor
22.0,18979.0,19495.0,1,2,8.0,Average
36.0,22591.0,24811.0,2,0,17.0,Good
53.0,49740.0,23535.0,0,1,0.0,Average
46.0,27116.0,107478.0,3,1,11.0,Poor
26.0,18182.0,13063.0,2,1,21.0,Good
40.0,129254.0,237542.0,1,1,4.0,Average
46.0,64795.0,119544.0,2,2,1.0,Poor
,24323.0,34622.0,0,4,15.0,Average
27.0,100606.0,325738.0,3,3,5.0,Poor
31.0,114517.0,177440.0,2,1,4.0,Average
23.0,89781.0,234702.0,0,1,13.0,Average
31.0,32357.0,74716.0,3,0,15.0,Average
44.0,,126095.0,2,0,20.0,Good
56.0,48556.0,161793.0,0,3,2.0,Poor
59.0,25640.0,28368.0,1,0,19.0,Good
50.0,62057.0,190851.0,3,0,16.0,Average
36.0,43773.0,141496.0,2,0,17.0,Good
62.0,61068.0,226012.0,1,1,5.0,Poor
61.0,29549.0,114175.0,0,0,20.0,Good
36.0,42060.0,127307.0,0,0,3.0,Average
21.0,20706.0,40682.0,1,1,17.0,Good
40.0,28209.0,39041.0,1,1,3.0,Poor
,30910.0,108162.0,3,0,15.0,Average
50.0,49606.0,182925.0,2,0,11.0,Average
27.0,58864.0,38908.0,0,2,4.0,Average
44.0,,51908.0,3,3,4.0,Poor
34.0,69662.0,54198.0,4,2,10.0,Average
42.0,46456.0,57180.0,4,1,9.0,Average
22.0,51853.0,89074.0,4,1,11.0,Poor
44.0,58608.0,85058.0,2,1,10.0,Average
22.0,23878.0,70421.0,1,1,0.0,Poor
58.0,68974.0,40845.0,0,2,10.0,Good
52.0,27314.0,70223.0,3,0,10.0,Average
61.0,35179.0,86232.0,2,1,9.0,Average
49.0,32474.0,104327.0,3,0,5.0,Poor
64.0,100782.0,66285.0,1,0,4.0,Good
30.0,24267.0,37144.0,0,0,2.0,Average
21.0,89972.0,259055.0,3,0,15.0,Good
60.0,77332.0,226833.0,1,1,13.0,Average
50.0,20149.0,39565.0,2,1,20.0,Good
51.0,26951.0,54132.0,4,3,5.0,Poor
33.0,27188.0,105227.0,1,1,10.0,Poor
35.0,52399.0,78968.0,0,1,4.0,Average
50.0,69097.0,59107.0,3,1,23.0,Good
38.0,27215.0,104111.0,2,4,19.0,Poor
24.0,18574.0,61212.0,1,1,3.0,Poor
33.0,52468.0,61762.0,2,1,20.0,Good
37.0,39537.0,137267.0,4,1,23.0,Average
57.0,19952.0,24611.0,0,0,16.0,Good
36.0,48732.0,163815.0,3,0,24.0,Good
42.0,38041.0,99884.0,2,1,4.0,Poor
47.0,22099.0,46088.0,4,1,7.0,Poor
26.0,29127.0,108756.0,4,3,15.0,Poor
46.0,86687.0,285604.0,0,1,13.0,Good
29.0,13692.0,10690.0,0,2,17.0,Good
59.0,23277.0,67750.0,0,1,24.0,Good
34.0,19259.0,62036.0,0,3,5.0,Poor
34.0,32869.0,75670.0,1,1,21.0,Good
38.0,41101.0,54313.0,1,2,3.0,Average
36.0,35640.0,41611.0,4,1,11.0,Average
47.0,37747.0,147377.0,3,1,10.0,Poor
52.0,42528.0,81489.0,1,0,20.0,Good
63.0,29009.0,64390.0,2,2,10.0,Poor
60.0,118399.0,297562.0,1,0,20.0,Good
32.0,39315.0,26433.0,2,0,3.0,Average
47.0,20651.0,12407.0,1,3,24.0,Good
35.0,36151.0,37348.0,3,0,4.0,Average
56.0,52621.0,28506.0,1,0,14.0,Good
22.0,56728.0,205602.0,4,1,12.0,Poor
64.0,48645.0,41236.0,4,1,2.0,Poor
37.0,40596.0,46211.0,0,3,13.0,Average
53.0,23814.0,54488.0,2,2,21.0,Average
50.0,44759.0,161847.0,4,0,13.0,Poor
37.0,35732.0,17202.0,4,0,17.0,Good
63.0,26636.0,29276.0,1,3,24.0,Good
,39310.0,116129.0,2,0,7.0,Average
53.0,58446.0,129807.0,0,1,0.0,Poor
61.0,18389.0,45967.0,1,0,17.0,Good
26.0,,8617.0,1,0,19.0,Good
61.0,54255.0,190282.0,1,3,,Poor
60.0,21586.0,52699.0,1,3,8.0,Poor
37.0,67066.0,227163.0,3,0,8.0,Poor
57.0,33452.0,129321.0,4,0,18.0,Average
21.0,48274.0,145256.0,2,1,21.0,Good
29.0,53064.0,22008.0,2,1,18.0,Good
54.0,36812.0,107957.0,3,4,7.0,Poor
62.0,70044.0,167044.0,3,0,15.0,Good
26.0,39957.0,27294.0,2,2,6.0,Average
52.0,42003.0,54628.0,0,2,15.0,Good
25.0,20069.0,18558.0,2,2,24.0,Good
55.0,88288.0,328600.0,0,1,16.0,Average
60.0,58524.0,189767.0,3,2,19.0,Average
41.0,22781.0,65909.0,4,3,18.0,Poor
25.0,20153.0,62964.0,3,0,11.0,Poor
29.0,30981.0,78215.0,4,1,3.0,Poor
43.0,32926.0,114072.0,2,0,24.0,Good
56.0,38242.0,43820.0,2,0,9.0,Good
43.0,67736.0,83103.0,2,1,22.0,Good
42.0,69685.0,173479.0,1,1,21.0,Good
47.0,57755.0,190447.0,4,0,17.0,Average
63.0,16009.0,54309.0,0,1,13.0,Average
55.0,81567.0,319101.0,4,0,6.0,Poor
27.0,61922.0,193225.0,4,0,3.0,Poor
29.0,50517.0,58658.0,4,0,,Good
36.0,33696.0,38865.0,0,1,24.0,Good
32.0,48353.0,94224.0,4,1,16.0,Average
53.0,18935.0,51230.0,1,1,24.0,Good
64.0,47310.0,103991.0,1,3,5.0,Poor
46.0,60347.0,33170.0,3,0,12.0,Good
60.0,43893.0,91431.0,1,1,4.0,Poor
40.0,33492.0,111303.0,4,2,13.0,Poor
51.0,71119.0,84572.0,2,4,22.0,Good
51.0,109883.0,291148.0,0,2,7.0,Average
33.0,50094.0,65020.0,1,3,10.0,Average
53.0,59703.0,140659.0,3,1,12.0,Average
44.0,37316.0,107978.0,2,2,11.0,Poor
46.0,30689.0,32737.0,1,2,24.0,Good
32.0,62293.0,189142.0,1,1,10.0,Average
35.0,95371.0,267336.0,3,2,6.0,Poor
58.0,27320.0,39811.0,1,1,8.0,Average
48.0,23091.0,83391.0,0,0,7.0,Poor
26.0,29461.0,93919.0,2,2,7.0,Poor
44.0,26667.0,59419.0,4,1,22.0,Good
48.0,73987.0,44831.0,1,1,12.0,Good
56.0,69399.0,133961.0,3,0,9.0,Average
58.0,28845.0,43857.0,2,0,3.0,Average
49.0,42640.0,54197.0,4,2,24.0,Good
21.0,23305.0,62486.0,3,0,3.0,Poor
42.0,36541.0,135582.0,2,1,8.0,Poor
30.0,22833.0,19231.0,1,1,17.0,Good
21.0,33713.0,102624.0,4,2,0.0,Poor
61.0,23073.0,59998.0,0,1,7.0,Poor
28.0,70800.0,195976.0,2,0,23.0,Good
31.0,43426.0,148829.0,1,2,0.0,Poor
35.0,46810.0,79070.0,2,1,5.0,Average
41.0,27181.0,66440.0,4,1,2.0,Poor
47.0,31605.0,41853.0,0,0,17.0,Good
34.0,41643.0,56284.0,0,1,0.0,Average
55.0,95076.0,209086.0,4,1,1.0,Poor
27.0,39152.0,12803.0,3,2,11.0,Average
63.0,77946.0,94940.0,2,2,18.0,Good
58.0,32810.0,28250.0,1,0,22.0,Good
47.0,40149.0,29851.0,3,1,5.0,Average
23.0,68079.0,117309.0,1,0,14.0,Good
53.0,56185.0,38551.0,3,2,20.0,Good
51.0,26456.0,23040.0,2,1,18.0,Good
48.0,47403.0,131508.0,3,3,24.0,Average
33.0,48952.0,132658.0,3,0,1.0,Poor
39.0,53100.0,201598.0,2,1,1.0,Poor
39.0,27411.0,101558.0,0,0,17.0,Good
47.0,21520.0,76043.0,3,0,9.0,Poor
35.0,80483.0,229902.0,3,3,18.0,Average
38.0,110953.0,142728.0,2,2,17.0,Good
60.0,52508.0,50365.0,2,2,11.0,Average
40.0,31987.0,121962.0,3,2,24.0,Average
47.0,73800.0,284176.0,1,3,22.0,Average
61.0,25136.0,54455.0,2,4,9.0,Poor
62.0,25997.0,60550.0,0,2,0.0,Poor
45.0,83587.0,26738.0,3,1,24.0,Good
32.0,105435.0,89595.0,0,3,24.0,Good
25.0,30193.0,70053.0,4,4,22.0,Poor
58.0,27099.0,26357.0,3,1,1.0,Poor
44.0,39561.0,81943.0,2,1,17.0,Good
45.0,24042.0,77925.0,2,1,24.0,Good
62.0,20191.0,65881.0,0,2,9.0,Poor
37.0,20481.0,71441.0,3,0,18.0,Average
25.0,46685.0,54721.0,1,1,13.0,Good
50.0,38349.0,72787.0,3,3,11.0,Poor
63.0,67694.0,177313.0,4,2,18.0,Average
28.0,83741.0,205167.0,4,1,14.0,Average
64.0,51345.0,205204.0,4,1,17.0,Poor
44.0,24052.0,31803.0,3,1,5.0,Poor
45.0,16365.0,9229.0,1,2,7.0,Average
63.0,33150.0,57518.0,1,0,15.0,Good
35.0,31088.0,68911.0,4,1,13.0,Average
53.0,24588.0,42606.0,4,3,9.0,Poor
21.0,50560.0,74912.0,1,1,20.0,Good
50.0,52571.0,65812.0,3,1,8.0,Average
21.0,45849.0,86274.0,4,1,11.0,Average
21.0,108536.0,309333.0,4,3,7.0,Poor
38.0,20797.0,17694.0,4,3,14.0,Poor
37.0,34142.0,119582.0,1,1,14.0,Average
55.0,39186.0,104711.0,2,1,8.0,Poor
60.0,32001.0,22313.0,2,0,19.0,Good
62.0,30036.0,11625.0,4,0,4.0,Average
48.0,57172.0,28015.0,4,1,19.0,Good
27.0,27589.0,17501.0,2,1,1.0,Poor
50.0,25342.0,67944.0,4,3,6.0,Poor
42.0,52372.0,198027.0,1,0,10.0,Average
44.0,51619.0,40945.0,3,0,10.0,Good
43.0,19605.0,26507.0,4,1,15.0,Average
59.0,68282.0,239236.0,4,2,23.0,Average
37.0,98312.0,213435.0,0,3,19.0,Good
63.0,17579.0,33055.0,0,0,13.0,Good
44.0,57471.0,117870.0,1,1,2.0,Poor
51.0,44558.0,30039.0,0,2,24.0,Good
61.0,42268.0,47022.0,1,0,7.0,Good
56.0,70554.0,272300.0,4,0,15.0,Average
40.0,44116.0,118261.0,3,1,20.0,Good
29.0,43204.0,58725.0,0,2,17.0,Good
27.0,31140.0,118451.0,3,1,2.0,Poor
37.0,72429.0,128252.0,4,1,6.0,Poor
50.0,19319.0,15865.0,4,0,24.0,Good
56.0,63113.0,244353.0,4,0,19.0,Average
22.0,26980.0,74571.0,4,3,15.0,Poor
41.0,38423.0,118551.0,3,2,11.0,Poor
62.0,24196.0,9274.0,4,1,23.0,Good
57.0,32830.0,44243.0,3,2,18.0,Average
62.0,25906.0,98393.0,3,1,18.0,Average
63.0,34398.0,30114.0,0,2,22.0,Good
25.0,65515.0,231390.0,4,0,24.0,Good
50.0,30757.0,96907.0,0,2,21.0,Average
45.0,50292.0,85522.0,1,1,16.0,Good
42.0,29189.0,104522.0,3,0,5.0,Poor
56.0,25886.0,96141.0,3,3,6.0,Poor
62.0,39960.0,140156.0,4,1,3.0,Poor
41.0,14625.0,26437.0,0,0,20.0,Good
49.0,29929.0,73996.0,3,1,8.0,Poor
42.0,73490.0,105287.0,0,0,5.0,Good
48.0,48716.0,38039.0,3,1,18.0,Good
63.0,38830.0,141256.0,1,1,14.0,Average
56.0,37052.0,145625.0,2,1,6.0,Poor
31.0,65522.0,33860.0,0,1,9.0,Good
59.0,29265.0,83248.0,0,2,12.0,Average
44.0,33570.0,127976.0,4,1,19.0,Average
46.0,14778.0,37673.0,2,2,0.0,Poor
26.0,37208.0,17646.0,2,2,18.0,Good
40.0,50181.0,17823.0,1,0,1.0,Average
34.0,30443.0,65915.0,4,0,21.0,Average
24.0,46630.0,176159.0,3,3,2.0,Poor
58.0,33495.0,44609.0,2,1,6.0,Average
26.0,47733.0,76192.0,0,1,9.0,Good
52.0,41395.0,134334.0,3,0,24.0,Good
53.0,27038.0,88310.0,1,2,9.0,Poor
47.0,33906.0,128553.0,1,1,20.0,Average
57.0,37274.0,126847.0,3,2,6.0,Poor
26.0,36839.0,92006.0,4,1,9.0,Poor
21.0,84217.0,317784.0,1,0,12.0,Average
58.0,36319.0,93461.0,0,2,3.0,Poor
29.0,74289.0,187642.0,2,0,0.0,Poor
34.0,23673.0,8460.0,3,0,8.0,Average
51.0,46877.0,93060.0,3,1,19.0,Good
44.0,57380.0,26333.0,4,0,2.0,Average
29.0,19390.0,70297.0,1,3,20.0,Poor
31.0,50917.0,17248.0,3,0,15.0,Good
57.0,15851.0,22761.0,3,2,6.0,Poor
43.0,28718.0,114348.0,4,0,2.0,Poor
61.0,39583.0,128318.0,4,2,13.0,Poor
45.0,85086.0,264054.0,1,1,10.0,Average
50.0,51023.0,149888.0,1,0,,Poor
35.0,28289.0,13850.0,2,2,16.0,Good
22.0,64742.0,88460.0,1,0,20.0,Good
43.0,21311.0,69352.0,0,0,11.0,Average
53.0,17036.0,61560.0,1,4,11.0,Poor
38.0,46518.0,74206.0,1,4,22.0,Good
58.0,30090.0,37909.0,3,0,9.0,Average
51.0,40364.0,47339.0,0,0,6.0,Good
43.0,21136.0,49201.0,3,0,21.0,Good
44.0,68473.0,94390.0,3,0,13.0,Good
31.0,64904.0,24595.0,0,1,23.0,Good
59.0,19243.0,33594.0,4,0,22.0,Good
23.0,23415.0,54997.0,3,1,20.0,Average
23.0,74669.0,197626.0,3,0,8.0,Average
55.0,29861.0,46850.0,3,0,17.0,Good
22.0,21564.0,31514.0,4,2,11.0,Poor
43.0,42819.0,57820.0,2,0,19.0,Good
29.0,30812.0,80305.0,2,2,23.0,Average
50.0,21208.0,28618.0,3,1,18.0,Good
26.0,86711.0,320168.0,0,0,12.0,Average
32.0,16893.0,22675.0,0,1,24.0,Good
44.0,35413.0,114259.0,3,1,21.0,Average
37.0,58125.0,86200.0,1,0,6.0,Good
29.0,71066.0,188221.0,1,2,23.0,Good
23.0,51571.0,148852.0,0,3,11.0,Poor
21.0,60048.0,56756.0,2,3,6.0,Poor
29.0,54953.0,93743.0,2,0,7.0,Average
33.0,39564.0,30546.0,4,3,19.0,Average
26.0,25585.0,56016.0,2,1,9.0,Poor
43.0,31644.0,115971.0,1,3,16.0,Poor
59.0,22753.0,57021.0,3,1,11.0,Poor
52.0,41277.0,119544.0,1,2,24.0,Good
34.0,25383.0,34198.0,0,1,3.0,Average
40.0,35930.0,73025.0,0,2,14.0,Average
54.0,34047.0,103533.0,4,2,8.0,Poor
63.0,44968.0,35337.0,3,0,19.0,Good
45.0,35865.0,26910.0,0,0,23.0,Good
29.0,37499.0,42389.0,1,1,8.0,Average
59.0,20192.0,23749.0,4,1,22.0,Good
43.0,28336.0,109402.0,3,6,15.0,Poor
22.0,12486.0,11073.0,2,2,1.0,Poor
32.0,50368.0,34707.0,1,1,19.0,Good
44.0,33044.0,26747.0,1,0,13.0,Good
56.0,30854.0,32420.0,3,2,24.0,Good
58.0,41919.0,69764.0,0,0,11.0,Good
29.0,38885.0,40031.0,4,1,6.0,Average
52.0,41466.0,25910.0,1,2,4.0,Average
63.0,45106.0,36332.0,1,0,1.0,Average
56.0,35462.0,114250.0,1,0,17.0,Good
52.0,22584.0,50233.0,3,1,24.0,Good
56.0,21107.0,64582.0,0,3,16.0,Poor
45.0,,26046.0,0,1,15.0,Good
47.0,80404.0,114908.0,1,2,0.0,Poor
44.0,38045.0,149689.0,0,1,0.0,Poor
63.0,48062.0,29653.0,1,1,12.0,Good
36.0,31402.0,60389.0,2,1,12.0,Average
55.0,34239.0,47741.0,3,1,10.0,Average
21.0,25702.0,8408.0,1,3,23.0,Good
39.0,49144.0,115197.0,2,2,,Poor
61.0,32839.0,76680.0,4,1,24.0,Good
31.0,51660.0,76751.0,2,3,6.0,Poor
55.0,15081.0,30876.0,4,3,8.0,Poor
43.0,52992.0,92747.0,1,0,7.0,Average
26.0,23979.0,48379.0,4,2,19.0,Average
25.0,25802.0,88702.0,2,0,8.0,Poor
26.0,59530.0,175119.0,0,1,11.0,Average
41.0,63941.0,85483.0,4,0,2.0,Average
34.0,39612.0,46992.0,3,1,9.0,Average
60.0,61625.0,183846.0,1,1,4.0,Poor
54.0,28394.0,32105.0,3,0,18.0,Good
27.0,30791.0,112636.0,4,1,20.0,Average
43.0,72081.0,243736.0,0,1,6.0,Poor
54.0,16283.0,20098.0,0,3,24.0,Good
49.0,48626.0,158791.0,3,2,10.0,Poor
21.0,35155.0,35436.0,1,0,20.0,Good
21.0,42333.0,16594.0,4,1,6.0,Average
46.0,39150.0,150968.0,3,1,21.0,Average
61.0,41917.0,130655.0,4,0,3.0,Poor
23.0,34780.0,73364.0,3,3,9.0,Poor
28.0,41580.0,142198.0,4,1,9.0,Poor
29.0,48327.0,28056.0,3,2,4.0,Poor
35.0,31597.0,95955.0,0,3,23.0,Average
60.0,35286.0,135442.0,1,2,7.0,Poor
62.0,40812.0,135854.0,4,2,10.0,Poor
34.0,61901.0,117439.0,1,0,0.0,Average
53.0,18403.0,29102.0,4,3,17.0,Poor
21.0,23347.0,84094.0,4,1,4.0,Poor
43.0,88072.0,121414.0,3,0,7.0,Average
48.0,45586.0,171793.0,0,1,22.0,Good
58.0,44784.0,66435.0,0,3,21.0,Good
57.0,113567.0,86601.0,3,1,2.0,Average
23.0,44402.0,52074.0,2,1,15.0,Good
39.0,29811.0,66243.0,2,2,18.0,Average
24.0,,11418.0,0,1,23.0,Good
21.0,34351.0,58597.0,2,1,6.0,Average
27.0,38384.0,140166.0,0,2,8.0,Poor
62.0,56920.0,36849.0,0,3,5.0,Average
32.0,58526.0,150635.0,4,1,13.0,Average
53.0,49336.0,88505.0,3,0,15.0,Good
52.0,63173.0,170288.0,4,1,4.0,Poor
59.0,41698.0,88047.0,4,2,0.0,Poor
44.0,18652.0,66099.0,4,0,3.0,Poor
63.0,33147.0,59308.0,2,1,5.0,Poor
39.0,33273.0,72575.0,1,1,14.0,Average
55.0,39835.0,31131.0,3,0,5.0,Average
55.0,64388.0,136125.0,3,1,20.0,Good
44.0,36798.0,26660.0,2,0,16.0,Good
34.0,37234.0,91506.0,2,0,4.0,Average
27.0,121982.0,229492.0,1,2,24.0,Good
24.0,24118.0,77141.0,2,0,17.0,Average
42.0,43630.0,80644.0,4,1,21.0,Good
38.0,28633.0,75397.0,2,0,16.0,Average
30.0,45861.0,23768.0,2,0,16.0,Good
54.0,68573.0,200718.0,4,2,12.0,Poor
28.0,53564.0,205820.0,4,2,16.0,Poor
41.0,43200.0,84533.0,3,3,19.0,Average
39.0,37560.0,12637.0,0,1,24.0,Good
63.0,63215.0,160155.0,4,0,14.0,Average
25.0,55278.0,46276.0,0,0,18.0,Good
58.0,37793.0,76776.0,0,0,23.0,Good
51.0,114332.0,48029.0,1,0,15.0,Good
55.0,26841.0,52029.0,2,1,19.0,Good
55.0,109351.0,386621.0,0,1,4.0,Average
55.0,64550.0,51700.0,2,1,22.0,Good
40.0,21252.0,45560.0,4,0,24.0,Good
46.0,28073.0,34792.0,3,1,9.0,Average
37.0,43377.0,54907.0,4,1,22.0,Good
60.0,19310.0,51755.0,4,2,20.0,Poor
30.0,56041.0,171969.0,4,1,5.0,Poor
46.0,36929.0,130402.0,0,2,,Good
30.0,57343.0,76238.0,3,2,14.0,Average
37.0,53505.0,30063.0,0,3,4.0,Average
63.0,34016.0,65870.0,3,2,2.0,Poor
29.0,28397.0,69941.0,4,1,12.0,Poor
59.0,15656.0,47539.0,0,1,13.0,Average
56.0,112170.0,347443.0,2,1,21.0,Good
37.0,51658.0,180565.0,0,0,12.0,Average
37.0,22294.0,9259.0,2,0,9.0,Good
21.0,36870.0,144888.0,2,0,7.0,Poor
55.0,62870.0,243761.0,4,1,12.0,Poor
50.0,39411.0,17007.0,1,0,6.0,Good
64.0,20154.0,29409.0,3,2,18.0,Average
33.0,55087.0,172560.0,3,0,3.0,Poor
38.0,20213.0,41851.0,3,2,20.0,Average
51.0,59231.0,18787.0,4,1,5.0,Average
35.0,46561.0,75077.0,0,1,4.0,Average
35.0,37484.0,91539.0,0,2,24.0,Good
28.0,36697.0,130438.0,3,1,9.0,Poor
64.0,33206.0,111845.0,0,1,17.0,Good
41.0,51562.0,196007.0,2,1,9.0,Poor
54.0,21855.0,44395.0,2,2,24.0,Good
49.0,29341.0,95464.0,3,3,3.0,Poor
47.0,76277.0,51313.0,0,0,11.0,Good
34.0,105236.0,233444.0,2,1,2.0,Poor
34.0,35077.0,129481.0,3,1,14.0,Poor
42.0,40958.0,139410.0,0,1,18.0,Average
26.0,23381.0,63731.0,1,2,11.0,Poor
44.0,26582.0,22649.0,1,1,21.0,Good
24.0,15895.0,15477.0,1,2,19.0,Good
33.0,18522.0,52066.0,2,1,23.0,Good
48.0,31222.0,46977.0,0,0,24.0,Good
22.0,60617.0,92075.0,2,4,23.0,Good
22.0,37537.0,128985.0,0,0,10.0,Average
30.0,74302.0,27917.0,0,0,24.0,Good
,29454.0,51613.0,2,0,16.0,Good
56.0,66918.0,79058.0,4,0,2.0,Poor
